Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total,Código INDEC_x,Código INDEC_y
2018,1,Córdoba,713825,101.0,713926,14.0,14.0
2018,1,Corrientes,94406,11.0,94417,18.0,18.0
2018,1,Entre Ríos,197346,48.0,197394,30.0,30.0
2018,1,Formosa,32328,0.0,32328,34.0,34.0
2018,1,Jujuy,44405,1.0,44406,38.0,38.0
2018,1,La Pampa,82668,396.0,83064,42.0,42.0
2018,1,La Rioja,52228,17.0,52245,46.0,46.0
2018,1,Mendoza,199463,1484.0,200947,50.0,50.0
2018,1,Misiones,103580,0.0,103580,54.0,54.0
2018,1,Neuquén,115897,2006.0,117903,58.0,58.0
2018,1,Río Negro,110057,1062.0,111119,62.0,62.0
2018,1,Salta,133182,1.0,133183,66.0,66.0
2018,1,San Juan,62610,658.0,63268,70.0,70.0
2018,1,San Luis,21096,300.0,21396,74.0,74.0
2018,1,Santa Cruz,33970,435.0,34405,78.0,78.0
2018,1,Santa Fe,679717,309.0,680026,82.0,82.0
2018,1,Santiago Del Estero,82916,2.0,82918,,
2018,1,Tierra Del Fuego,31106,508.0,31614,,
2018,1,Tucumán,168026,31.0,168057,94.0,94.0
2019,1,Buenos Aires,3736563,10104.0,3746667,6.0,6.0
2019,1,Ciudad Autónoma de Buenos Aires,1396157,3443.0,1399600,2.0,
2019,1,Catamarca,33613,9.0,33622,10.0,10.0
2019,1,Chaco,103664,13.0,103677,22.0,22.0
2019,1,Chubut,78260,1518.0,79778,26.0,26.0
2019,1,Córdoba,744010,105.0,744115,14.0,14.0
2019,1,Corrientes,102477,10.0,102487,18.0,18.0
2019,1,Entre Ríos,232403,44.0,232447,30.0,30.0
2019,1,Formosa,45211,0.0,45211,34.0,34.0
2019,1,Jujuy,90146,1.0,90147,38.0,38.0
2019,1,La Pampa,88892,268.0,89160,42.0,42.0
2019,1,La Rioja,51638,18.0,51656,46.0,46.0
2019,1,Mendoza,204976,1322.0,206298,50.0,50.0
2019,1,Misiones,122720,0.0,122720,54.0,54.0
2019,1,Neuquén,112321,2056.0,114377,58.0,58.0
2019,1,Río Negro,120173,915.0,121088,62.0,62.0
2019,1,Salta,136019,1.0,136020,66.0,66.0
2019,1,San Juan,61881,564.0,62445,70.0,70.0
2019,1,San Luis,96044,291.0,96335,74.0,74.0
2019,1,Santa Cruz,24580,325.0,24905,78.0,78.0
2019,1,Santa Fe,736851,227.0,737078,82.0,82.0
2019,1,Santiago Del Estero,89851,2.0,89853,,
2019,1,Tierra Del Fuego,45903,544.0,46447,,
2019,1,Tucumán,171970,32.0,172002,94.0,94.0
2020,1,Buenos Aires,3702985,5066.0,3708051,6.0,6.0
2020,1,Ciudad Autónoma de Buenos Aires,1352104,1390.0,1353494,2.0,
2020,1,Catamarca,39634,1.0,39635,10.0,10.0
2020,1,Chaco,120274,3.0,120277,22.0,22.0
2020,1,Chubut,95938,800.0,96738,26.0,26.0
2020,1,Córdoba,811044,55.0,811099,14.0,14.0
2020,1,Corrientes,113967,3.0,113970,18.0,18.0
2020,1,Entre Ríos,231833,13.0,231846,30.0,30.0
2020,1,Formosa,46434,0.0,46434,34.0,34.0
2020,1,Jujuy,91665,0.0,91665,38.0,38.0
2020,1,La Pampa,89110,116.0,89226,42.0,42.0
2020,1,La Rioja,48337,3.0,48340,46.0,46.0
2020,1,Mendoza,182837,615.0,183452,50.0,50.0
2020,1,Misiones,133552,0.0,133552,54.0,54.0
2020,1,Neuquén,121354,373.0,121727,58.0,58.0
2020,1,Río Negro,125699,501.0,126200,62.0,62.0
2020,1,Salta,170379,2.0,170381,66.0,66.0
2020,1,San Juan,63975,256.0,64231,70.0,70.0
2020,1,San Luis,110404,148.0,110552,74.0,74.0
2020,1,Santa Cruz,38625,197.0,38822,78.0,78.0
2020,1,Santa Fe,770981,137.0,771118,82.0,82.0
2020,1,Santiago Del Estero,102754,1.0,102755,,
2020,1,Tierra Del Fuego,38505,289.0,38794,,
2020,1,Tucumán,200045,22.0,200067,94.0,94.0
2021,1,Buenos Aires,4054936,5066.0,4060002,6.0,6.0
2021,1,Ciudad Autónoma de Buenos Aires,1378283,1390.0,1379673,2.0,
2021,1,Catamarca,51967,1.0,51968,10.0,10.0
2021,1,Chaco,139767,3.0,139770,22.0,22.0
2021,1,Chubut,131515,825.0,132340,26.0,26.0
2021,1,Córdoba,910826,55.0,910881,14.0,14.0
2021,1,Corrientes,126622,3.0,126625,18.0,18.0
2021,1,Entre Ríos,251950,13.0,251963,30.0,30.0
2021,1,Formosa,50686,0.0,50686,34.0,34.0
2021,1,Jujuy,110456,0.0,110456,38.0,38.0
2021,1,La Pampa,96989,116.0,97105,42.0,42.0
2021,1,La Rioja,52625,3.0,52628,46.0,46.0
2021,1,Mendoza,218308,615.0,218923,50.0,50.0
2021,1,Misiones,149387,0.0,149387,54.0,54.0
2021,1,Neuquén,132862,373.0,133235,58.0,58.0
2021,1,Río Negro,140667,501.0,141168,62.0,62.0
2021,1,Salta,187572,2.0,187574,66.0,66.0
2021,1,San Juan,78011,256.0,78267,70.0,70.0
2021,1,San Luis,119006,148.0,119154,74.0,74.0
2021,1,Santa Cruz,45868,197.0,46065,78.0,78.0
2021,1,Santa Fe,825990,137.0,826127,82.0,82.0
2021,1,Santiago Del Estero,111640,1.0,111641,,
2021,1,Tierra Del Fuego,40133,289.0,40422,,
2021,1,Tucumán,231890,22.0,231912,94.0,94.0
2022,1,Buenos Aires,4549131,6293.0,4555424,6.0,6.0
2022,1,Ciudad Autónoma de Buenos Aires,1415378,2163.0,1417541,2.0,
2022,1,Catamarca,62377,1.0,62378,10.0,10.0
2022,1,Chaco,144114,5.0,144119,22.0,22.0
2022,1,Chubut,170701,927.0,171628,26.0,26.0
2022,1,Córdoba,1003729,74.0,1003803,14.0,14.0
2022,1,Corrientes,142574,4.0,142578,18.0,18.0
2022,1,Entre Ríos,267904,22.0,267926,30.0,30.0
2022,1,Formosa,54548,0.0,54548,34.0,34.0
2022,1,Jujuy,116509,0.0,116509,38.0,38.0
2022,1,La Pampa,109560,172.0,109732,42.0,42.0
2022,1,La Rioja,84299,4.0,84303,46.0,46.0
2022,1,Mendoza,274399,786.0,275185,50.0,50.0
2022,1,Misiones,171508,0.0,171508,54.0,54.0
2022,1,Neuquén,149208,471.0,149679,58.0,58.0
2022,1,Río Negro,156821,553.0,157374,62.0,62.0
2022,1,Salta,197510,5.0,197515,66.0,66.0
